Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
95,Chris Chiozza\chiozch01,PG,24,TOT,22,1,12.1,1.5,3.9,.388,0.8,2.1,.391,0.7,1.8,.385,.494,0.1,0.1,1.000,0.3,1.3,1.6,2.3,0.7,0.1,0.8,1.1,3.9
95,Chris Chiozza\chiozch01,PG,24,WAS,10,0,12.3,1.0,3.4,.294,0.7,1.6,.438,0.3,1.8,.167,.397,0.0,0.0,,0.0,1.5,1.5,2.8,1.0,0.2,0.9,1.2,2.7
95,Chris Chiozza\chiozch01,PG,24,BRK,12,1,11.9,1.9,4.3,.451,0.9,2.5,.367,1.0,1.8,.571,.559,0.2,0.2,1.000,0.6,1.2,1.8,1.9,0.4,0.0,0.7,1.1,4.9
96,Marquese Chriss\chrisma01,PF,22,GSW,59,21,20.3,3.6,6.5,.545,0.1,0.7,.205,3.4,5.9,.584,.556,2.0,2.6,.769,1.9,4.3,6.2,1.9,0.7,1.1,1.3,2.1,9.3
97,Gary Clark\clarkga01,PF,25,TOT,36,1,12.0,1.1,2.9,.379,0.8,2.4,.330,0.3,0.4,.667,.519,0.2,0.3,.889,0.8,1.6,2.4,0.4,0.1,0.4,0.2,0.9,3.2
97,Gary Clark\clarkga01,PF,25,HOU,18,0,11.8,1.3,3.3,.390,1.0,2.8,.353,0.3,0.4,.625,.542,0.3,0.4,.857,0.6,1.6,2.2,0.7,0.1,0.4,0.1,1.2,3.9
97,Gary Clark\clarkga01,PF,25,ORL,18,1,12.2,0.9,2.4,.364,0.6,2.1,.297,0.3,0.4,.714,.489,0.1,0.1,1.000,0.9,1.6,2.5,0.2,0.2,0.4,0.2,0.6,2.5
98,Brandon Clarke\clarkbr01,PF,23,MEM,51,3,22.0,5.1,8.2,.627,0.4,1.0,.404,4.7,7.1,.659,.653,1.6,2.0,.792,1.6,4.3,5.9,1.5,0.5,0.9,0.9,1.6,12.2
99,Jordan Clarkson\clarkjo01,SG,27,TOT,64,0,24.4,5.6,12.0,.465,2.0,5.6,.363,3.5,6.4,.555,.550,2.0,2.4,.842,0.7,2.0,2.7,2.0,0.7,0.2,1.3,1.5,15.2
99,Jordan Clarkson\clarkjo01,SG,27,CLE,29,0,23.0,5.0,11.2,.442,2.0,5.5,.371,2.9,5.8,.509,.532,2.6,3.0,.884,0.7,1.7,2.4,2.4,0.6,0.3,1.3,1.1,14.6
99,Jordan Clarkson\clarkjo01,SG,27,UTA,35,0,25.5,6.1,12.7,.482,2.1,5.8,.356,4.1,6.9,.587,.563,1.5,1.9,.788,0.7,2.2,2.9,1.6,0.8,0.2,1.3,1.7,15.8
100,Nicolas Claxton\claxtni01,PF,20,BRK,15,0,12.5,1.8,3.2,.563,0.1,0.5,.143,1.7,2.7,.634,.573,0.7,1.4,.524,1.3,1.7,2.9,1.1,0.1,0.5,0.6,0.9,4.4
101,Chris Clemons\clemoch01,SG,22,HOU,29,0,8.7,1.8,4.3,.405,1.1,3.2,.351,0.6,1.1,.563,.536,0.2,0.2,.857,0.1,0.7,0.8,0.8,0.2,0.2,0.6,0.7,4.9
102,Antonius Cleveland\clevean01,SG,25,DAL,7,0,3.1,0.3,0.9,.333,0.0,0.1,.000,0.3,0.7,.400,.333,0.1,0.3,.500,0.0,0.4,0.4,0.0,0.1,0.1,0.1,0.3,0.7
103,Amir Coffey\coffeam01,SG,22,LAC,14,0,7.4,1.0,2.4,.412,0.1,0.6,.250,0.9,1.9,.462,.441,0.1,0.2,.333,0.3,0.7,1.0,0.6,0.1,0.1,0.2,0.9,2.2
104,John Collins\collijo01,PF,22,ATL,41,41,33.2,8.6,14.8,.583,1.4,3.6,.401,7.2,11.2,.642,.632,2.9,3.7,.800,2.8,7.3,10.1,1.5,0.8,1.6,1.8,3.4,21.6
105,Zach Collins\colliza01,PF,22,POR,4,4,30.8,3.0,7.0,.429,1.0,2.5,.400,2.0,4.5,.444,.500,1.5,1.5,1.000,1.8,3.5,5.3,2.3,0.3,0.5,1.5,4.3,8.5
106,Mike Conley\conlemi01,PG,32,UTA,42,36,28.7,4.9,12.0,.406,2.0,5.2,.373,2.9,6.7,.433,.488,2.3,2.9,.802,0.7,2.5,3.2,4.3,0.8,0.1,1.9,2.2,14.0
107,Pat Connaughton\connapa01,SG,27,MIL,61,1,18.3,2.0,4.3,.456,0.7,2.2,.321,1.2,2.0,.605,.540,0.4,0.6,.750,0.9,3.3,4.2,1.6,0.3,0.5,0.8,1.0,5.1
108,Quinn Cook\cookqu01,PG,26,LAL,38,0,10.8,2.0,4.6,.439,0.7,1.7,.379,1.3,2.8,.477,.512,0.2,0.2,.667,0.2,0.9,1.1,1.1,0.3,0.0,0.7,0.6,4.8
109,Tyler Cook\cookty01,PF,22,CLE,11,0,3.2,0.6,0.9,.700,0.0,0.0,,0.6,0.9,.700,.700,0.5,0.5,.833,0.4,0.5,0.9,0.1,0.1,0.0,0.1,0.4,1.7
110,Robert Covington\covinro01,PF,29,TOT,63,61,30.3,4.5,10.5,.429,2.4,6.9,.344,2.1,3.6,.590,.542,1.4,1.8,.804,0.9,5.6,6.5,1.2,1.5,1.3,1.5,3.2,12.8
110,Robert Covington\covinro01,PF,29,MIN,48,47,29.4,4.5,10.3,.435,2.3,6.5,.346,2.3,3.8,.587,.544,1.6,2.0,.798,0.8,5.2,6.0,1.2,1.7,0.9,1.5,3.1,12.8
110,Robert Covington\covinro01,PF,29,HOU,15,14,33.2,4.5,11.1,.410,2.7,8.1,.339,1.8,3.0,.600,.533,1.0,1.2,.833,1.3,6.7,8.1,1.4,1.1,2.6,1.4,3.4,12.8
111,Allen Crabbe\crabbal01,SG,27,TOT,37,1,17.6,1.7,4.8,.356,1.0,3.2,.303,0.7,1.6,.466,.458,0.3,0.4,.714,0.3,1.8,2.1,0.9,0.4,0.1,0.5,1.3,4.6
111,Allen Crabbe\crabbal01,SG,27,ATL,28,1,18.6,1.9,5.1,.364,1.1,3.3,.323,0.8,1.8,.440,.469,0.3,0.4,.750,0.4,2.0,2.3,1.0,0.5,0.1,0.4,1.3,5.1
111,Allen Crabbe\crabbal01,SG,27,MIN,9,0,14.6,1.2,3.8,.324,0.7,2.9,.231,0.6,0.9,.625,.412,0.1,0.2,.500,0.1,1.2,1.3,0.6,0.0,0.0,0.6,1.2,3.2
112,Torrey Craig\craigto01,SF,29,DEN,50,19,17.4,1.9,4.2,.462,0.7,2.2,.330,1.2,2.0,.606,.548,0.4,0.6,.645,1.0,2.2,3.1,0.7,0.4,0.6,0.4,2.2,5.0
113,Jae Crowder\crowdja01,SF,29,TOT,58,46,29.2,3.4,8.8,.384,1.9,6.1,.318,1.4,2.7,.532,.494,1.6,2.1,.785,0.8,5.3,6.1,2.6,1.2,0.4,1.1,2.2,10.4
113,Jae Crowder\crowdja01,SF,29,MEM,45,45,29.4,3.3,8.9,.368,1.7,5.9,.293,1.5,3.0,.519,.466,1.7,2.1,.789,0.9,5.3,6.2,2.8,1.0,0.3,1.2,1.9,9.9
113,Jae Crowder\crowdja01,SF,29,MIA,13,1,28.7,3.8,8.8,.439,2.7,6.8,.393,1.2,1.9,.600,.592,1.5,2.0,.769,0.6,5.2,5.8,2.0,1.5,0.5,0.6,3.2,11.9
114,Jarrett Culver\culveja01,SG,20,MIN,63,35,23.9,3.7,9.0,.404,1.0,3.5,.299,2.6,5.5,.471,.462,0.9,1.9,.462,1.1,2.3,3.4,1.7,0.9,0.6,1.3,2.0,9.2
115,Seth Curry\curryse01,SG,29,DAL,60,21,24.5,4.4,8.9,.496,2.3,5.1,.449,2.2,3.9,.558,.623,1.3,1.6,.819,0.4,1.9,2.3,2.0,0.6,0.2,1.0,1.8,12.4
116,Stephen Curry\curryst01,PG,31,GSW,5,5,27.8,6.6,16.4,.402,2.4,9.8,.245,4.2,6.6,.636,.476,5.2,5.2,1.000,0.8,4.4,5.2,6.6,1.0,0.4,3.2,2.2,20.8
117,Troy Daniels\danietr01,SG,28,TOT,42,0,10.9,1.5,3.8,.390,1.0,2.7,.354,0.5,1.1,.478,.516,0.2,0.4,.625,0.3,0.8,1.1,0.3,0.2,0.1,0.2,0.7,4.1
117,Troy Daniels\danietr01,SG,28,LAL,41,0,11.1,1.5,3.9,.392,1.0,2.7,.357,0.5,1.1,.478,.519,0.2,0.4,.625,0.3,0.8,1.1,0.3,0.2,0.1,0.2,0.7,4.2
117,Troy Daniels\danietr01,SG,28,DEN,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Anthony Davis\davisan02,PF,26,LAL,56,56,34.4,9.2,18.1,.509,1.2,3.6,.337,8.0,14.5,.552,.542,7.2,8.5,.848,2.3,7.1,9.4,3.1,1.5,2.4,2.5,2.5,26.8
119,Ed Davis\davised01,C,30,UTA,25,0,10.7,0.6,1.4,.412,0.0,0.0,,0.6,1.4,.412,.412,0.2,0.4,.455,1.2,2.6,3.8,0.3,0.4,0.4,0.5,2.2,1.3
120,Terence Davis\daviste02,SG,22,TOR,64,2,17.0,2.8,6.1,.463,1.4,3.5,.396,1.5,2.6,.550,.575,0.7,0.8,.865,0.7,2.7,3.4,1.7,0.5,0.2,1.0,1.6,7.7
121,Dewayne Dedmon\dedmode01,C,30,TOT,44,18,17.6,2.3,5.8,.400,0.5,2.4,.206,1.8,3.4,.541,.443,0.7,0.8,.833,1.4,4.3,5.7,0.5,0.6,0.9,1.3,3.0,5.8
121,Dewayne Dedmon\dedmode01,C,30,SAC,34,10,15.9,2.0,5.0,.404,0.4,2.1,.197,1.6,2.9,.550,.444,0.7,0.8,.821,1.4,3.6,4.9,0.4,0.4,0.8,1.4,2.7,5.1
121,Dewayne Dedmon\dedmode01,C,30,ATL,10,8,23.3,3.3,8.4,.393,0.8,3.6,.222,2.5,4.8,.521,.440,0.7,0.8,.875,1.4,6.8,8.2,0.7,1.0,1.5,1.0,4.0,8.1
122,Matthew Dellavedova\dellama01,PG,29,CLE,57,4,14.4,1.1,3.1,.354,0.4,1.6,.231,0.7,1.5,.488,.414,0.6,0.6,.865,0.3,1.0,1.3,3.2,0.4,0.0,1.0,1.4,3.1
123,DeMar DeRozan\derozde01,SF,30,SAS,62,62,34.3,8.3,15.6,.529,0.1,0.5,.267,8.1,15.1,.538,.534,5.6,6.6,.841,0.6,5.0,5.6,5.6,1.0,0.2,2.4,2.7,22.2
124,Cheick Diallo\diallch01,C,23,PHO,44,2,10.6,2.0,3.1,.650,0.0,0.0,.500,2.0,3.1,.652,.653,0.7,0.8,.865,0.6,2.3,2.9,0.5,0.2,0.3,0.7,1.2,4.8
125,Hamidou Diallo\diallha01,SF,21,OKC,38,3,18.4,2.6,5.8,.452,0.2,0.9,.200,2.4,4.8,.500,.468,0.7,1.2,.622,0.8,2.4,3.2,0.6,0.7,0.2,1.0,2.2,6.1
126,Gorgui Dieng\dienggo01,C,30,TOT,58,17,17.4,2.7,5.9,.461,0.9,2.4,.359,1.8,3.5,.532,.535,1.1,1.4,.735,1.5,4.3,5.8,1.2,0.8,1.0,0.9,1.9,7.4
126,Gorgui Dieng\dienggo01,C,30,MIN,46,17,16.9,2.7,6.0,.448,1.0,2.6,.383,1.7,3.4,.497,.531,1.0,1.3,.797,1.6,4.0,5.6,1.3,0.8,0.9,1.0,1.9,7.4
126,Gorgui Dieng\dienggo01,C,30,MEM,12,0,19.5,2.8,5.5,.515,0.4,1.8,.227,2.4,3.7,.659,.553,1.2,2.0,.583,1.2,5.5,6.7,1.1,0.9,1.2,0.9,1.9,7.3
127,Spencer Dinwiddie\dinwisp01,SG,26,BRK,64,49,31.2,6.6,16.0,.415,1.9,6.3,.308,4.7,9.7,.485,.476,5.4,7.0,.778,0.5,3.0,3.5,6.8,0.6,0.3,2.7,2.8,20.6
128,Donte DiVincenzo\divindo01,SG,23,MIL,60,23,23.1,3.6,7.7,.463,1.3,3.8,.345,2.3,3.9,.577,.548,1.0,1.3,.769,1.0,3.9,4.9,2.3,1.3,0.3,1.2,1.7,9.4
129,Luka Dončić\doncilu01,PG,20,DAL,55,55,33.5,9.5,20.7,.460,2.9,9.1,.314,6.7,11.6,.574,.529,6.8,9.1,.748,1.3,8.1,9.4,8.7,1.1,0.2,4.3,2.5,28.7
130,Luguentz Dort\dortlu01,SG,20,OKC,29,21,22.0,2.2,5.4,.414,0.8,2.5,.301,1.5,2.9,.512,.484,1.0,1.2,.778,0.5,1.3,1.9,0.7,0.8,0.1,0.5,2.7,6.2
131,Damyean Dotson\dotsoda01,SG,25,NYK,48,0,17.4,2.5,6.0,.414,1.2,3.4,.362,1.3,2.6,.480,.516,0.5,0.7,.667,0.2,1.7,1.9,1.2,0.5,0.1,0.4,0.9,6.7
132,Sekou Doumbouya\doumbse01,SF,19,DET,38,19,19.8,2.4,6.2,.390,0.7,2.6,.286,1.7,3.6,.464,.449,0.8,1.2,.674,0.5,2.6,3.1,0.5,0.5,0.2,0.9,2.1,6.4
133,PJ Dozier\doziepj01,PG,23,DEN,21,0,11.1,1.7,4.3,.396,0.3,1.3,.250,1.4,3.0,.460,.434,0.3,0.5,.636,0.2,1.2,1.4,1.4,0.3,0.2,0.5,1.3,4.1
134,Goran Dragić\dragigo01,PG,33,MIA,54,1,28.4,5.4,12.3,.437,2.2,5.8,.377,3.2,6.5,.491,.526,3.1,4.1,.769,0.5,2.6,3.1,5.1,0.6,0.1,2.5,1.9,16.1
135,Andre Drummond\drumman01,C,26,TOT,57,56,33.0,7.3,13.8,.533,0.1,0.6,.143,7.2,13.1,.551,.536,3.0,5.2,.575,4.4,10.8,15.2,2.7,1.9,1.6,3.6,3.5,17.7
135,Andre Drummond\drumman01,C,26,DET,49,48,33.8,7.3,13.9,.530,0.0,0.4,.048,7.3,13.4,.546,.531,3.0,5.2,.584,4.6,11.2,15.8,2.8,2.0,1.7,3.6,3.6,17.8
135,Andre Drummond\drumman01,C,26,CLE,8,8,28.1,7.3,13.1,.552,0.5,1.8,.286,6.8,11.4,.593,.571,2.5,4.9,.513,3.0,8.1,11.1,1.8,1.5,1.4,3.6,3.1,17.5
136,Jared Dudley\dudleja01,SF,34,LAL,40,1,7.8,0.5,1.3,.400,0.4,0.9,.471,0.1,0.4,.250,.560,0.1,0.1,1.000,0.1,1.0,1.1,0.5,0.3,0.1,0.2,0.9,1.5
137,Kris Dunn\dunnkr01,PG,25,CHI,51,32,24.9,3.0,6.7,.444,0.6,2.2,.259,2.4,4.5,.535,.487,0.8,1.1,.741,0.5,3.2,3.6,3.4,2.0,0.3,1.3,3.1,7.3
138,Carsen Edwards\edwarca01,SG,21,BOS,35,0,9.0,1.1,3.2,.327,0.6,1.9,.309,0.5,1.3,.356,.420,0.3,0.4,.846,0.2,1.1,1.2,0.6,0.3,0.1,0.4,0.9,3.0
139,Henry Ellenson\ellenhe01,PF,23,BRK,5,0,3.0,0.2,1.4,.143,0.0,0.8,.000,0.2,0.6,.333,.143,0.0,0.0,,0.4,0.8,1.2,0.2,0.0,0.0,0.0,0.2,0.4
140,Wayne Ellington\ellinwa01,SG,32,NYK,36,1,15.5,1.7,4.8,.351,1.4,4.0,.350,0.3,0.9,.355,.494,0.3,0.4,.846,0.1,1.7,1.8,1.2,0.4,0.1,0.5,1.1,5.1
141,Joel Embiid\embiijo01,C,25,PHI,44,44,30.2,7.5,15.9,.474,1.3,3.7,.348,6.3,12.3,.511,.514,7.1,8.7,.814,2.8,9.0,11.8,3.1,0.9,1.3,3.1,3.4,23.4
142,James Ennis\ennisja01,SF,29,TOT,62,11,17.4,2.1,4.8,.439,0.8,2.3,.343,1.3,2.5,.526,.520,1.1,1.3,.805,1.0,2.3,3.3,0.9,0.5,0.3,0.7,1.8,6.0
142,James Ennis\ennisja01,SF,29,PHI,49,0,15.8,2.0,4.6,.442,0.8,2.2,.349,1.3,2.4,.525,.524,1.0,1.2,.787,1.0,2.1,3.1,0.8,0.5,0.3,0.6,1.7,5.8
142,James Ennis\ennisja01,SF,29,ORL,13,11,23.2,2.3,5.4,.429,0.8,2.6,.324,1.5,2.8,.528,.507,1.4,1.6,.857,1.0,3.0,4.0,1.2,0.5,0.5,1.0,2.0,6.8
143,Drew Eubanks\eubandr01,PF,22,SAS,15,3,8.8,1.5,1.9,.759,0.1,0.1,1.000,1.4,1.9,.750,.776,0.5,0.7,.727,0.5,1.8,2.3,0.3,0.1,0.4,0.7,1.4,3.5
144,Jacob Evans\evansja02,SG,22,TOT,29,1,14.4,1.6,4.6,.336,0.4,1.3,.333,1.1,3.3,.337,.384,0.9,1.0,.862,0.3,1.1,1.4,1.1,0.4,0.4,0.9,1.4,4.4
144,Jacob Evans\evansja02,SG,22,GSW,27,1,15.3,1.7,4.9,.338,0.5,1.4,.342,1.2,3.5,.337,.387,0.9,1.1,.862,0.3,1.2,1.5,1.1,0.4,0.4,0.9,1.5,4.7
144,Jacob Evans\evansja02,SG,22,MIN,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Dante Exum\exumda01,SG,24,TOT,35,1,13.9,1.6,3.4,.471,0.4,1.2,.349,1.2,2.2,.539,.534,0.9,1.2,.744,0.3,1.6,1.9,1.1,0.4,0.2,0.9,1.1,4.5
145,Dante Exum\exumda01,SG,24,UTA,11,0,7.5,0.9,2.1,.435,0.2,0.5,.333,0.7,1.5,.471,.478,0.2,0.2,1.000,0.3,0.8,1.1,0.6,0.1,0.2,0.9,0.7,2.2
145,Dante Exum\exumda01,SG,24,CLE,24,1,16.8,1.9,4.0,.479,0.5,1.5,.351,1.4,2.5,.559,.547,1.3,1.7,.732,0.4,1.9,2.3,1.4,0.5,0.3,0.9,1.3,5.6
146,Tacko Fall\fallta01,C,24,BOS,6,0,4.0,1.5,2.0,.750,0.0,0.0,,1.5,2.0,.750,.750,0.2,0.5,.333,0.0,1.8,1.8,0.0,0.0,0.3,0.5,0.8,3.2
147,Derrick Favors\favorde01,C,28,NOP,46,44,24.3,4.1,6.7,.617,0.0,0.2,.143,4.1,6.5,.628,.619,0.8,1.3,.581,3.2,6.6,9.8,1.7,0.6,1.0,1.2,2.2,9.1
148,Cristiano Felício\feliccr01,PF,27,CHI,22,0,17.5,1.5,2.5,.630,0.0,0.1,.000,1.5,2.4,.654,.630,0.8,1.0,.783,2.5,2.1,4.6,0.7,0.5,0.1,0.8,1.5,3.9
149,Terrance Ferguson\fergute01,SF,21,OKC,50,37,23.4,1.5,4.0,.372,0.9,3.1,.297,0.6,0.9,.636,.487,0.3,0.4,.789,0.5,1.0,1.5,0.9,0.5,0.3,0.6,2.9,4.2
150,Bruno Fernando\fernabr01,C,21,ATL,56,13,12.7,1.8,3.6,.518,0.1,0.7,.135,1.8,2.9,.605,.530,0.5,0.9,.569,1.2,2.3,3.5,0.9,0.3,0.3,0.8,1.9,4.3
151,Yogi Ferrell\ferreyo01,PG,26,SAC,44,0,11.0,1.5,3.8,.396,0.4,1.6,.275,1.1,2.3,.480,.453,0.7,0.8,.865,0.1,1.0,1.1,1.3,0.3,0.1,0.6,0.7,4.2
152,Dorian Finney-Smith\finnedo01,PF,26,DAL,65,62,29.6,3.3,7.1,.466,1.6,4.2,.373,1.8,3.0,.596,.574,1.1,1.5,.722,2.0,3.5,5.5,1.6,0.7,0.6,1.0,2.5,9.3
153,Bryn Forbes\forbebr01,SG,26,SAS,63,62,25.1,3.8,9.2,.417,2.3,6.0,.388,1.5,3.2,.470,.544,1.2,1.4,.833,0.2,1.8,2.0,1.7,0.5,0.0,0.9,1.8,11.2
154,Evan Fournier\fournev01,SG,27,ORL,62,62,31.5,6.7,14.3,.473,2.7,6.6,.408,4.0,7.6,.530,.568,2.7,3.3,.820,0.3,2.3,2.5,3.2,1.1,0.2,2.0,2.4,18.9
155,De'Aaron Fox\foxde01,PG,22,SAC,46,44,31.8,7.5,15.8,.477,1.0,3.5,.300,6.5,12.3,.527,.510,4.8,6.8,.704,0.7,3.3,4.0,6.7,1.4,0.5,3.1,2.9,20.8
156,Melvin Frazier\frazime01,SG,23,ORL,16,0,3.4,0.4,1.1,.353,0.3,0.4,.571,0.1,0.6,.200,.471,0.1,0.3,.500,0.1,0.3,0.3,0.1,0.3,0.1,0.2,0.5,1.1
157,Michael Frazier\frazimi01,SG,25,HOU,8,0,8.3,0.5,1.4,.364,0.3,1.0,.250,0.3,0.4,.667,.455,0.5,0.8,.667,0.1,0.3,0.4,0.1,0.3,0.0,0.3,1.6,1.8
158,Tim Frazier\fraziti01,PG,29,DET,27,11,13.1,1.3,3.5,.362,0.4,1.1,.333,0.9,2.4,.375,.415,0.7,0.9,.792,0.3,0.9,1.2,3.4,0.5,0.1,1.3,1.6,3.6
159,Markelle Fultz\fultzma01,PG,21,ORL,65,59,28.2,5.0,10.5,.473,0.5,1.8,.254,4.5,8.7,.519,.495,1.6,2.2,.723,0.6,2.8,3.3,5.2,1.3,0.2,2.0,2.0,12.0
160,Wenyen Gabriel\gabriwe01,PF,22,TOT,28,1,7.5,0.7,1.6,.435,0.2,0.7,.300,0.5,0.9,.538,.500,0.5,0.7,.700,0.6,1.0,1.6,0.3,0.4,0.2,0.6,1.3,2.1
160,Wenyen Gabriel\gabriwe01,PF,22,SAC,11,0,5.5,0.5,1.5,.353,0.1,0.7,.125,0.5,0.8,.556,.382,0.5,0.9,.600,0.4,0.5,0.9,0.3,0.3,0.2,0.5,0.6,1.7
160,Wenyen Gabriel\gabriwe01,PF,22,POR,17,1,8.8,0.8,1.7,.483,0.3,0.7,.417,0.5,1.0,.529,.569,0.5,0.6,.800,0.8,1.3,2.1,0.3,0.4,0.2,0.6,1.6,2.4
161,Daniel Gafford\gaffoda01,C,21,CHI,43,7,14.2,2.2,3.1,.701,0.0,0.0,,2.2,3.1,.701,.701,0.7,1.4,.533,1.2,1.3,2.5,0.5,0.3,1.3,0.7,2.3,5.1
162,Danilo Gallinari\gallida01,PF,31,OKC,55,55,30.7,6.0,13.6,.439,3.0,7.3,.409,3.0,6.3,.474,.549,4.3,4.8,.886,0.6,4.9,5.5,2.1,0.7,0.1,1.3,1.2,19.2
163,Langston Galloway\gallola01,SG,28,DET,66,6,25.8,3.6,8.2,.435,2.0,5.0,.399,1.6,3.2,.493,.557,1.1,1.3,.859,0.5,1.8,2.3,1.5,0.7,0.2,0.6,1.5,10.3
164,Darius Garland\garlada01,PG,20,CLE,59,59,30.9,4.7,11.8,.401,1.8,5.0,.355,3.0,6.8,.434,.476,1.1,1.2,.875,0.5,1.4,1.9,3.9,0.7,0.1,2.6,1.6,12.3
165,Marc Gasol\gasolma01,C,35,TOR,36,35,27.5,2.8,6.6,.419,1.4,3.5,.402,1.3,3.0,.440,.528,0.7,1.0,.722,0.8,5.5,6.3,3.4,0.8,0.9,1.2,2.8,7.6
166,Rudy Gay\gayru01,PF,33,SAS,61,5,21.5,3.8,8.5,.445,1.0,3.1,.321,2.8,5.4,.517,.504,1.6,1.9,.876,0.9,4.5,5.4,1.7,0.4,0.5,1.3,1.5,10.2
167,Paul George\georgpa01,SF,29,LAC,43,43,29.2,7.0,16.1,.437,3.2,8.0,.404,3.8,8.1,.470,.538,3.9,4.4,.874,0.5,5.2,5.7,3.8,1.4,0.5,2.7,2.5,21.2
168,Taj Gibson\gibsota01,C,34,NYK,62,56,16.5,2.7,4.6,.584,0.1,0.2,.286,2.6,4.4,.599,.591,0.7,0.9,.732,1.8,2.5,4.3,0.8,0.4,0.5,0.8,2.0,6.1
169,Harry Giles\gilesha01,PF,21,SAC,39,17,14.9,3.0,5.4,.560,0.0,0.0,,3.0,5.4,.560,.560,0.8,1.1,.767,0.8,3.3,4.1,1.3,0.5,0.4,0.9,2.6,6.8
170,Shai Gilgeous-Alexander\gilgesh01,SG,21,OKC,63,63,35.1,7.0,14.8,.473,1.2,3.5,.351,5.8,11.3,.511,.514,4.0,5.0,.801,0.7,5.4,6.1,3.3,1.1,0.7,1.9,1.7,19.3
171,Rudy Gobert\goberru01,C,27,UTA,63,63,34.5,5.7,8.2,.695,0.0,0.0,,5.7,8.2,.695,.695,3.7,5.9,.624,3.4,10.3,13.7,1.5,0.7,2.0,2.0,3.2,15.0
172,Brandon Goodwin\goodwbr01,PG,24,ATL,34,1,12.6,2.2,5.6,.400,0.8,2.6,.299,1.5,3.0,.485,.468,0.8,0.9,.933,0.3,1.8,2.1,1.5,0.4,0.1,0.9,1.3,6.1
173,Aaron Gordon\gordoaa01,PF,24,ORL,59,59,32.9,5.4,12.4,.432,1.2,3.8,.300,4.2,8.5,.492,.479,2.4,3.6,.678,1.7,5.9,7.7,3.7,0.8,0.6,1.6,2.0,14.3
174,Eric Gordon\gordoer01,SG,31,HOU,34,13,28.6,4.8,12.9,.370,2.7,8.5,.319,2.1,4.4,.467,.475,2.3,3.0,.757,0.2,1.7,1.9,1.5,0.6,0.4,1.1,2.0,14.5
175,Devonte' Graham\grahade01,PG,24,CHO,63,53,35.1,5.8,15.3,.382,3.5,9.3,.373,2.4,6.0,.397,.495,3.0,3.7,.820,0.7,2.7,3.4,7.5,1.0,0.2,2.9,1.8,18.2
176,Treveon Graham\grahatr01,SG,26,TOT,55,20,16.9,1.6,4.4,.360,0.6,2.2,.275,1.0,2.2,.443,.428,0.7,1.0,.643,0.9,1.8,2.7,0.8,0.4,0.1,0.5,1.9,4.4
176,Treveon Graham\grahatr01,SG,26,MIN,33,20,20.1,1.9,5.3,.354,0.6,2.5,.241,1.3,2.8,.457,.411,0.8,1.1,.730,0.9,2.2,3.0,0.9,0.5,0.1,0.6,2.0,5.2
176,Treveon Graham\grahatr01,SG,26,ATL,22,0,12.1,1.1,3.0,.373,0.6,1.7,.351,0.5,1.4,.400,.470,0.4,0.9,.474,1.0,1.3,2.3,0.7,0.3,0.2,0.5,1.6,3.3
177,Jerami Grant\grantje01,PF,25,DEN,64,22,26.2,4.1,8.7,.471,1.4,3.4,.400,2.7,5.3,.518,.550,2.0,2.7,.744,0.8,2.7,3.5,1.2,0.7,0.8,0.9,2.2,11.6
178,Jerian Grant\grantje02,G,27,WAS,1,0,10.0,2.0,2.0,1.000,1.0,1.0,1.000,1.0,1.0,1.000,1.250,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0
179,Josh Gray\grayjo01,PG,26,NOP,2,0,11.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,2.5,0.5,1.0
180,Danny Green\greenda02,SG,32,LAL,62,62,25.1,2.9,7.0,.418,1.9,4.9,.377,1.0,2.0,.516,.551,0.5,0.7,.727,0.7,2.6,3.3,1.4,1.2,0.5,0.9,2.1,8.2
181,Draymond Green\greendr01,PF,29,GSW,43,43,28.4,2.9,7.3,.389,0.8,3.0,.279,2.0,4.3,.465,.446,1.5,1.9,.759,0.5,5.7,6.2,6.2,1.4,0.8,2.3,2.6,8.0
182,JaMychal Green\greenja01,PF,29,LAC,56,0,20.7,2.3,5.5,.416,1.4,3.7,.365,0.9,1.8,.520,.539,0.6,0.8,.727,1.3,4.9,6.3,0.8,0.4,0.4,0.8,2.7,6.5
183,Javonte Green\greenja02,SF,26,BOS,44,1,9.4,1.1,2.2,.500,0.1,0.5,.261,1.0,1.7,.573,.531,0.5,0.8,.639,0.4,1.4,1.8,0.5,0.5,0.2,0.4,0.8,2.9
