Player,Pos,G,MP,FG,FGA,FG%,3P,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS
Maurice Harkless,SF,62,23.0,2.3,4.6,0.502,0.5,0.6,1.1,0.591,3.9,1.1,0.9,0.5,0.9,5.8
Jared Harper,PG,3,2.7,0.3,1.3,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.7
Montrezl Harrell,C,63,27.8,7.5,12.9,0.58,0.0,3.7,5.6,0.6579999999999999,7.1,1.7,0.6,1.1,1.7,18.6
Gary Harris,SG,56,31.8,3.9,9.3,0.42,1.3,1.3,1.6,0.815,2.9,2.1,1.4,0.3,1.1,10.4
Joe Harris,SF,64,30.9,5.3,11.2,0.47200000000000003,2.4,1.0,1.3,0.738,4.3,2.1,0.6,0.3,1.5,13.9
Tobias Harris,PF,65,34.5,7.6,16.1,0.47200000000000003,1.8,2.4,2.9,0.8059999999999999,6.8,3.2,0.8,0.5,1.5,19.4
Shaquille Harrison,SF,43,11.3,1.8,3.8,0.467,0.4,0.9,1.2,0.78,2.0,1.1,0.8,0.4,0.4,4.9
Josh Hart,SF,58,27.3,3.5,8.4,0.418,1.9,1.2,1.6,0.7390000000000001,6.4,1.6,1.0,0.4,1.1,10.2
Isaiah Hartenstein,C,23,11.6,1.9,2.9,0.657,0.0,0.8,1.2,0.679,3.9,0.8,0.4,0.5,0.7,4.7
Udonis Haslem,PF,3,7.0,0.3,2.0,0.16699999999999998,0.0,1.0,1.3,0.75,2.7,0.3,0.0,0.0,0.0,1.7
Jaxson Hayes,C,57,17.0,2.7,4.2,0.6579999999999999,0.0,1.9,3.1,0.629,4.0,0.9,0.4,0.9,0.7,7.4
Gordon Hayward,SF,46,33.4,6.8,13.5,0.501,1.6,2.2,2.5,0.853,6.6,4.2,0.8,0.5,1.8,17.3
John Henson,PF,40,15.0,2.4,4.3,0.556,0.2,0.6,1.2,0.5,4.1,1.4,0.6,1.1,0.9,5.5
Dewan Hernandez,C,4,2.8,0.3,1.3,0.2,0.0,0.5,0.5,1.0,1.8,0.0,0.3,0.0,0.3,1.0
Juan Hernangómez,PF,48,17.4,2.1,5.1,0.405,0.9,0.9,1.5,0.62,4.1,0.8,0.4,0.2,0.7,6.0
Willy Hernangómez,C,31,12.1,2.4,4.5,0.532,0.2,1.2,1.9,0.627,4.3,0.9,0.3,0.2,1.0,6.1
Tyler Herro,SG,47,27.2,4.7,11.3,0.414,2.1,1.4,1.7,0.835,4.0,1.9,0.6,0.1,1.5,12.9
Kevin Hervey,PF,7,2.7,0.1,1.6,0.091,0.0,0.0,0.0,,0.3,0.1,0.0,0.0,0.0,0.3
Mario Hezonja,PF,48,16.5,1.7,4.0,0.428,0.5,0.9,1.1,0.818,3.5,0.9,0.6,0.2,0.8,4.9
Buddy Hield,SG,65,31.8,7.0,16.5,0.426,3.8,1.7,2.1,0.843,4.8,3.0,0.9,0.3,2.4,19.6
George Hill,PG,53,21.3,3.4,6.4,0.528,1.4,1.4,1.6,0.828,3.0,2.9,0.8,0.1,1.0,9.5
Solomon Hill,SF,54,18.4,1.9,4.6,0.40299999999999997,1.1,0.6,0.8,0.7140000000000001,2.9,1.8,0.7,0.2,0.9,5.4
Jaylen Hoard,SF,13,7.9,1.2,2.5,0.469,0.0,0.6,1.0,0.615,2.5,0.3,0.4,0.0,0.3,2.9
Aaron Holiday,PG,58,23.6,3.5,8.6,0.40700000000000003,1.4,1.1,1.2,0.861,2.3,3.3,0.8,0.2,1.3,9.4
Jrue Holiday,SG,56,35.0,7.7,16.9,0.45299999999999996,2.1,2.1,3.0,0.7,4.9,6.8,1.7,0.8,2.9,19.6
Justin Holiday,SG,65,24.9,2.9,6.6,0.44,1.9,0.7,0.9,0.78,3.2,1.3,1.2,0.6,0.6,8.4
Rondae Hollis-Jefferson,SF,52,19.2,2.7,5.7,0.47100000000000003,0.0,1.8,2.5,0.736,4.9,1.7,0.8,0.4,0.9,7.2
Richaun Holmes,C,40,28.7,5.3,8.2,0.653,0.0,2.1,2.6,0.8079999999999999,8.3,1.0,1.0,1.4,1.3,12.8
Rodney Hood,SF,21,29.5,4.1,8.2,0.506,1.7,1.0,1.3,0.778,3.4,1.5,0.8,0.2,0.9,11.0
Al Horford,C,60,30.8,4.8,10.9,0.442,1.5,0.9,1.2,0.753,6.9,4.1,0.9,0.9,1.1,12.0
Talen Horton-Tucker,SG,2,2.5,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,1.0,0.5,0.0,0.0,0.0
Danuel House,SF,59,30.2,3.6,8.4,0.43,2.0,1.2,1.4,0.8,4.3,1.3,1.1,0.5,0.8,10.4
Dwight Howard,C,63,19.1,3.0,4.1,0.732,0.0,1.4,2.9,0.489,7.3,0.7,0.4,1.2,1.2,7.4
William Howard,SG,2,6.5,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.5,0.0,0.0,0.5,0.0
Kevin Huerter,SG,56,31.4,4.5,10.9,0.413,2.3,0.9,1.1,0.828,4.1,3.8,0.9,0.5,1.6,12.2
De'Andre Hunter,SF,63,32.0,4.4,10.8,0.41,1.7,1.7,2.3,0.764,4.5,1.8,0.7,0.3,1.6,12.3
Chandler Hutchison,SF,28,18.8,2.9,6.3,0.457,0.4,1.6,2.8,0.59,3.9,0.9,1.0,0.3,1.0,7.8
Serge Ibaka,C,50,27.5,6.5,12.5,0.518,1.3,1.8,2.4,0.748,8.3,1.5,0.5,0.8,2.0,16.0
Andre Iguodala,SG,14,18.5,1.8,3.6,0.49,0.6,0.1,0.6,0.25,3.8,2.0,0.6,1.1,1.2,4.4
Ersan İlyasova,PF,57,15.9,2.4,5.1,0.473,0.8,1.2,1.4,0.835,4.9,0.8,0.4,0.2,0.6,6.8
Joe Ingles,SF,65,30.0,3.4,7.7,0.44299999999999995,1.9,1.1,1.4,0.775,4.0,5.1,0.9,0.1,2.0,9.8
Brandon Ingram,PF,57,34.2,8.4,18.0,0.46399999999999997,2.4,5.1,5.9,0.858,6.3,4.2,1.0,0.7,3.1,24.2
Kyrie Irving,PG,20,32.9,10.0,20.8,0.478,2.8,4.7,5.1,0.922,5.2,6.4,1.4,0.5,2.6,27.4
Jonathan Isaac,SF,33,29.2,4.7,10.0,0.47100000000000003,1.0,1.8,2.3,0.773,6.9,1.3,1.5,2.4,1.4,12.1
Wesley Iwundu,SF,45,18.0,1.7,4.3,0.397,0.5,1.4,1.7,0.816,2.5,1.0,0.6,0.2,0.4,5.3
Frank Jackson,PG,52,12.7,1.9,4.9,0.385,0.8,0.9,1.2,0.75,1.4,0.8,0.3,0.1,0.8,5.5
Jaren Jackson Jr.,C,55,28.3,6.1,13.1,0.467,2.6,2.4,3.2,0.743,4.7,1.4,0.7,1.6,1.7,17.2
Josh Jackson,SG,19,19.5,3.7,8.4,0.44,1.2,1.7,2.5,0.688,3.4,1.7,0.9,0.5,1.4,10.3
Justin Jackson,PF,59,15.9,2.1,5.3,0.397,0.8,0.6,0.7,0.818,2.4,0.8,0.2,0.2,0.2,5.6
Reggie Jackson,PG,24,24.6,4.6,11.1,0.41200000000000003,1.9,1.6,2.0,0.809,3.0,4.4,0.4,0.2,1.8,12.7
Justin James,SG,34,6.4,1.0,2.3,0.423,0.3,0.3,0.6,0.47600000000000003,0.9,0.5,0.2,0.3,0.2,2.5
LeBron James,PG,61,34.9,9.7,19.6,0.495,2.2,4.0,5.7,0.6990000000000001,7.9,10.5,1.2,0.5,4.0,25.6
Amile Jefferson,PF,18,4.1,0.3,0.8,0.35700000000000004,0.0,0.3,0.8,0.35700000000000004,1.3,0.2,0.1,0.2,0.2,0.8
DaQuan Jeffries,SG,7,3.7,0.6,1.1,0.5,0.1,0.3,0.3,1.0,0.3,0.1,0.1,0.0,0.0,1.6
Ty Jerome,PG,28,11.3,1.3,3.8,0.349,0.5,0.4,0.5,0.7859999999999999,1.5,1.5,0.5,0.1,0.6,3.5
Alize Johnson,SF,13,4.2,0.5,1.2,0.467,0.0,0.3,0.5,0.667,1.4,0.2,0.0,0.0,0.2,1.4
B.J. Johnson,SF,8,5.8,0.6,2.3,0.278,0.1,0.3,0.3,1.0,0.8,0.3,0.3,0.0,0.4,1.6
Cameron Johnson,PF,50,20.4,2.8,6.7,0.423,1.8,0.7,0.9,0.7659999999999999,2.9,1.1,0.6,0.3,0.6,8.2
James Johnson,PF,32,19.3,3.2,6.7,0.479,1.0,1.0,1.5,0.6459999999999999,3.7,2.3,0.8,1.0,1.5,8.4
Keldon Johnson,SF,10,12.2,1.9,3.8,0.5,0.4,0.7,1.2,0.583,2.3,0.8,0.6,0.1,0.3,4.9
Stanley Johnson,PF,20,4.8,0.4,1.6,0.258,0.1,0.3,0.3,0.833,1.1,0.4,0.2,0.1,0.4,1.2
Tyler Johnson,SG,32,16.7,2.1,5.6,0.374,0.8,0.9,1.2,0.789,1.7,1.7,0.4,0.3,0.8,5.9
Nikola Jokić,C,65,32.3,7.9,14.9,0.528,1.1,3.4,4.1,0.813,10.2,6.9,1.2,0.7,3.1,20.2
Damian Jones,C,55,16.1,2.2,3.2,0.68,0.0,1.1,1.5,0.738,3.7,0.6,0.5,0.7,0.5,5.6
Derrick Jones Jr.,SF,51,24.5,3.3,6.3,0.514,0.7,1.7,2.2,0.779,4.2,1.1,1.1,0.7,0.5,8.9
Tyus Jones,PG,65,19.0,3.0,6.6,0.45899999999999996,0.7,0.7,0.9,0.741,1.6,4.4,0.9,0.1,0.8,7.4
DeAndre Jordan,C,56,22.0,3.4,5.1,0.6659999999999999,0.0,1.5,2.2,0.68,10.0,1.9,0.3,0.9,1.3,8.3
Cory Joseph,PG,65,24.1,2.4,5.8,0.42,0.7,0.7,0.9,0.828,2.5,3.4,0.7,0.3,1.0,6.3
Mfiondu Kabengele,C,12,5.3,1.2,2.7,0.43799999999999994,0.8,0.4,0.4,1.0,0.9,0.2,0.2,0.2,0.2,3.5
Frank Kaminsky,C,33,22.1,3.9,8.6,0.452,1.2,1.8,2.7,0.67,4.8,2.2,0.4,0.3,1.0,10.7
Enes Kanter,C,52,17.3,3.4,6.0,0.565,0.0,1.2,1.7,0.708,7.6,0.9,0.4,0.7,1.0,8.0
Luke Kennard,SG,28,32.9,5.4,12.2,0.442,2.6,2.4,2.6,0.905,3.5,4.1,0.4,0.2,1.5,15.8
Stanton Kidd,SF,4,3.8,0.0,0.8,0.0,0.0,0.0,0.0,,0.8,0.3,0.0,0.0,0.5,0.0
Michael Kidd-Gilchrist,PF-SF,21,11.0,0.9,2.9,0.317,0.2,0.4,0.5,0.818,2.6,0.6,0.1,0.2,0.6,2.5
Louis King,SF,10,6.2,0.8,2.1,0.381,0.4,0.0,0.3,0.0,1.0,0.5,0.2,0.0,0.2,2.0
Maxi Kleber,C,67,25.8,3.2,7.0,0.45899999999999996,1.6,1.1,1.2,0.866,5.4,1.2,0.3,1.2,0.7,9.1
Brandon Knight,PG,25,18.5,2.4,6.7,0.353,1.8,0.8,1.4,0.588,1.6,2.8,0.4,0.1,1.5,7.3
Kevin Knox,SF,65,17.9,2.2,6.2,0.359,1.0,1.0,1.6,0.653,2.8,0.9,0.4,0.4,0.7,6.4
John Konchar,SG,15,11.1,1.5,2.3,0.657,0.3,0.1,0.1,0.5,3.1,1.4,0.5,0.2,0.4,3.4
Furkan Korkmaz,SG,64,21.8,3.5,8.0,0.43200000000000005,2.0,0.8,1.1,0.736,2.3,1.1,0.6,0.2,0.8,9.7
Luke Kornet,C,36,15.5,2.3,5.2,0.439,0.9,0.6,0.8,0.7140000000000001,2.3,0.9,0.3,0.7,0.4,6.0
Kyle Korver,SF,51,16.6,2.2,5.2,0.428,1.7,0.5,0.7,0.8240000000000001,2.1,1.2,0.5,0.2,0.9,6.7
Rodions Kurucs,PF,40,12.9,1.6,3.5,0.449,0.7,0.5,0.8,0.633,2.6,0.9,0.4,0.1,0.9,4.2
Kyle Kuzma,PF,55,24.7,4.7,10.8,0.433,1.3,1.8,2.5,0.741,4.5,1.3,0.4,0.4,1.6,12.5
Skal Labissière,C,33,17.2,2.5,4.5,0.551,0.1,0.8,1.0,0.758,5.1,1.3,0.2,0.9,0.9,5.8
Jeremy Lamb,SG,46,28.1,4.7,10.4,0.451,1.2,2.0,2.4,0.836,4.3,2.1,1.2,0.5,1.1,12.5
Romeo Langford,SG,27,11.0,0.9,2.4,0.375,0.2,0.6,0.9,0.696,1.2,0.2,0.3,0.2,0.3,2.6
Zach LaVine,SG,60,34.8,9.0,20.0,0.45,3.1,4.5,5.6,0.802,4.8,4.2,1.5,0.5,3.4,25.5
Vic Law,SF,5,1.8,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Jake Layman,PF,23,22.0,3.5,7.8,0.45299999999999996,1.0,1.0,1.4,0.75,2.5,0.7,0.7,0.4,1.0,9.1
T.J. Leaf,PF,25,7.7,1.2,2.8,0.435,0.2,0.3,0.5,0.583,2.6,0.2,0.3,0.1,0.3,2.9
Jalen Lecque,PG,4,6.5,1.0,2.5,0.4,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.3,2.5
Courtney Lee,SG,24,14.4,1.7,3.4,0.488,0.9,0.3,0.3,0.857,1.3,0.5,0.8,0.3,0.5,4.5
Damion Lee,SG,49,29.0,4.3,10.4,0.41700000000000004,1.7,2.2,2.6,0.873,4.9,2.7,1.0,0.1,1.4,12.7
Alex Len,C,49,18.3,3.4,6.2,0.556,0.3,1.2,1.9,0.637,6.0,1.0,0.4,0.9,1.0,8.3
Kawhi Leonard,SF,52,32.2,9.3,19.8,0.46799999999999997,2.1,6.2,7.0,0.887,7.2,5.0,1.8,0.6,2.8,26.9
Meyers Leonard,C,49,20.1,2.4,4.6,0.52,1.0,0.3,0.5,0.654,5.1,1.1,0.3,0.3,0.7,6.1
Caris LeVert,SG,40,29.0,6.5,15.7,0.414,1.8,3.0,4.1,0.721,4.0,4.2,1.1,0.2,2.6,17.7
Damian Lillard,PG,59,37.0,9.2,20.1,0.457,3.9,6.7,7.6,0.8859999999999999,4.3,7.8,1.0,0.4,2.9,28.9
Nassir Little,PF,48,11.9,1.4,3.1,0.43,0.3,0.6,0.9,0.636,2.3,0.5,0.3,0.3,0.3,3.6
Kevon Looney,C,20,13.1,1.5,4.0,0.36700000000000005,0.1,0.5,0.6,0.75,3.3,1.0,0.6,0.3,0.6,3.4
Brook Lopez,C,62,26.6,4.0,9.4,0.42700000000000005,1.4,1.6,2.0,0.816,4.5,1.5,0.7,2.5,1.0,11.0
Robin Lopez,C,61,14.4,2.3,4.5,0.505,0.6,0.4,0.7,0.556,2.4,0.7,0.2,0.7,0.9,5.6
Kevin Love,PF,56,31.8,5.8,13.0,0.45,2.6,3.3,3.9,0.8540000000000001,9.8,3.2,0.6,0.3,2.5,17.6
Kyle Lowry,PG,52,36.6,5.9,14.3,0.41700000000000004,2.9,4.9,5.7,0.861,4.8,7.7,1.3,0.4,3.0,19.7
Timothé Luwawu-Cabarrot,SG,40,17.3,2.2,5.1,0.42200000000000004,1.1,1.4,1.7,0.833,2.4,0.6,0.4,0.2,0.8,6.8
Trey Lyles,PF,63,20.2,2.4,5.4,0.446,1.0,0.5,0.7,0.733,5.7,1.1,0.4,0.4,0.6,6.4
Daryl Macon,SG,4,3.5,0.3,0.8,0.33299999999999996,0.3,0.0,0.0,,0.0,0.3,0.0,0.0,0.5,0.8
J.P. Macura,SG,1,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Josh Magette,PG,8,4.8,0.6,1.9,0.33299999999999996,0.1,0.1,0.3,0.5,0.8,0.6,0.4,0.1,0.6,1.5
Ian Mahinmi,C,38,21.3,2.7,5.5,0.495,0.1,1.8,3.0,0.619,5.7,1.3,0.8,1.2,1.2,7.4
Thon Maker,C,60,12.9,1.6,3.2,0.48200000000000004,0.4,1.2,1.8,0.664,2.8,0.7,0.4,0.7,0.8,4.7
Terance Mann,SG,35,7.7,0.6,1.5,0.40700000000000003,0.1,0.3,0.3,0.75,0.9,1.1,0.2,0.1,0.4,1.6
Boban Marjanović,C,38,9.0,2.6,4.6,0.563,0.1,0.9,1.3,0.75,4.2,0.3,0.2,0.2,0.7,6.3
Lauri Markkanen,PF,50,29.8,5.0,11.8,0.425,2.2,2.5,3.1,0.8240000000000001,6.3,1.5,0.8,0.5,1.6,14.7
Caleb Martin,SF,18,17.6,2.1,4.7,0.44,1.1,0.9,1.2,0.81,2.1,1.3,0.7,0.4,0.8,6.2
Cody Martin,SF,48,18.8,1.9,4.3,0.43,0.4,0.9,1.4,0.6459999999999999,3.3,2.0,0.8,0.2,0.9,5.0
Jeremiah Martin,PG,4,6.3,1.0,3.3,0.308,0.3,0.0,0.0,,1.0,1.0,0.5,0.3,0.3,2.3
Kelan Martin,SF,31,16.0,2.3,5.8,0.392,0.8,1.0,1.0,0.968,3.1,0.7,0.2,0.3,0.6,6.4
Frank Mason III,PG,6,8.8,0.8,3.2,0.263,0.3,0.3,0.7,0.5,1.3,1.8,0.3,0.0,1.0,2.3
Garrison Mathews,SG,18,12.6,1.3,3.1,0.429,1.1,1.7,1.9,0.912,1.3,0.6,0.4,0.1,0.4,5.4
Wesley Matthews,SG,63,24.7,2.6,6.5,0.396,1.6,0.8,1.0,0.773,2.5,1.4,0.6,0.1,0.7,7.6
Patrick McCaw,SF,37,24.5,1.8,4.4,0.414,0.6,0.4,0.5,0.722,2.3,2.1,1.1,0.1,0.8,4.6
CJ McCollum,SG,63,36.1,8.9,19.6,0.457,2.8,2.0,2.6,0.753,4.1,4.3,0.8,0.6,1.9,22.7
T.J. McConnell,PG,63,18.9,3.0,5.7,0.517,0.1,0.5,0.6,0.833,2.6,5.0,0.7,0.2,1.4,6.5
Jalen McDaniels,PF,16,18.3,2.1,4.4,0.47100000000000003,0.6,0.9,1.1,0.8240000000000001,4.1,0.8,0.5,0.2,0.7,5.6
Doug McDermott,PF,62,20.0,3.9,7.9,0.491,1.9,0.7,0.8,0.8270000000000001,2.5,1.1,0.1,0.1,0.6,10.4
JaVale McGee,C,62,16.7,3.0,4.6,0.6409999999999999,0.0,0.8,1.2,0.653,5.8,0.5,0.5,1.5,0.8,6.8
Rodney McGruder,SG,50,15.0,1.2,3.1,0.391,0.4,0.3,0.6,0.536,2.6,0.6,0.5,0.2,0.4,3.2
Alfonzo McKinnie,SF,40,14.8,1.8,4.3,0.42700000000000005,0.4,0.6,0.8,0.71,2.8,0.4,0.6,0.2,0.7,4.6
Jordan McLaughlin,PG,30,19.7,2.9,5.9,0.489,1.0,0.9,1.3,0.667,1.6,4.2,1.1,0.1,1.0,7.6
Ben McLemore,SG,64,22.7,3.3,7.4,0.449,2.5,0.8,1.0,0.75,2.2,0.8,0.6,0.2,0.7,9.9
Jordan McRae,SG,37,21.2,4.0,9.9,0.40700000000000003,1.2,2.2,2.9,0.7609999999999999,3.4,2.5,0.6,0.4,1.2,11.5
Nicolò Melli,C,53,17.0,2.3,5.3,0.441,1.2,0.8,1.1,0.733,3.0,1.3,0.6,0.4,0.8,6.7
De'Anthony Melton,PG,53,19.6,2.8,6.8,0.419,0.7,1.7,2.1,0.7959999999999999,3.7,3.0,1.3,0.4,1.5,8.1
Chimezie Metu,PF,16,4.6,1.3,2.2,0.5710000000000001,0.0,0.4,0.5,0.75,1.6,0.4,0.1,0.3,0.3,2.9
Khris Middleton,SF,56,30.1,7.7,15.5,0.494,2.4,3.3,3.6,0.91,6.2,4.2,0.9,0.1,2.0,21.0
Eric Mika,PF,1,19.0,2.0,3.0,0.667,0.0,2.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,6.0
C.J. Miles,SG,10,16.1,1.9,5.9,0.322,1.1,1.5,2.0,0.75,1.2,1.2,1.0,0.4,0.4,6.4
Malcolm Miller,SF,25,5.0,0.3,1.0,0.33299999999999996,0.2,0.0,0.2,0.16699999999999998,0.6,0.3,0.2,0.1,0.1,0.9
Patty Mills,PG,63,22.7,3.9,9.1,0.429,2.3,1.5,1.7,0.861,1.6,1.8,0.8,0.1,0.8,11.7
Paul Millsap,PF,44,24.4,4.3,8.8,0.486,1.1,2.4,2.9,0.833,5.9,1.6,0.9,0.6,1.4,12.0
Shake Milton,SG,32,19.1,3.4,6.8,0.498,1.5,1.2,1.6,0.765,2.1,2.2,0.6,0.2,1.2,9.5
Donovan Mitchell,SG,64,34.4,8.8,19.5,0.45299999999999996,2.5,4.0,4.6,0.8590000000000001,4.4,4.2,1.1,0.2,2.6,24.1
Naz Mitrou-Long,SG,3,14.3,2.0,5.3,0.375,0.7,0.0,0.0,,2.0,2.3,0.3,0.3,0.7,4.7
Adam Mokoka,SG,11,10.2,1.1,2.5,0.429,0.5,0.2,0.4,0.5,0.9,0.4,0.4,0.0,0.2,2.9
Malik Monk,SG,55,21.3,3.9,8.9,0.434,1.1,1.5,1.8,0.82,2.9,2.1,0.5,0.3,1.4,10.3
Matt Mooney,SG,4,4.8,0.3,1.0,0.25,0.0,0.0,0.0,,0.8,0.3,0.5,0.3,0.0,0.5
E'Twaun Moore,SG,52,18.7,3.4,8.0,0.424,1.2,0.6,0.8,0.674,2.4,1.4,0.6,0.2,0.7,8.6
Ja Morant,PG,60,30.2,6.7,13.7,0.48700000000000004,0.9,3.5,4.5,0.7759999999999999,3.6,7.0,0.9,0.3,3.2,17.7
Juwan Morgan,PF,16,4.6,0.6,1.1,0.529,0.1,0.0,0.0,,1.2,0.1,0.0,0.1,0.2,1.2
Marcus Morris,SF-PF,56,31.2,5.8,13.5,0.431,2.4,3.1,3.7,0.823,5.1,1.4,0.8,0.5,1.6,17.1
Markieff Morris,PF,53,20.9,3.6,8.0,0.445,1.5,1.2,1.6,0.7829999999999999,3.8,1.4,0.5,0.3,1.4,9.9
Monte Morris,PG,65,21.6,3.4,7.4,0.45899999999999996,0.8,0.8,1.0,0.823,1.7,3.5,0.8,0.2,0.7,8.4
Johnathan Motley,PF,13,3.2,0.8,1.2,0.733,0.1,0.4,0.5,0.7140000000000001,0.8,0.6,0.2,0.0,0.4,2.2
Emmanuel Mudiay,PG,49,15.6,2.8,5.9,0.467,0.6,1.1,1.4,0.754,2.4,2.2,0.4,0.2,1.3,7.2
Mychal Mulder,SG,7,29.1,3.7,9.6,0.38799999999999996,2.3,1.3,1.7,0.75,3.3,1.1,0.3,0.1,0.7,11.0
Dejounte Murray,PG,59,24.9,4.4,9.3,0.474,0.6,1.3,1.6,0.7979999999999999,5.7,4.1,1.7,0.3,1.9,10.7
Jamal Murray,PG,55,32.8,7.0,15.4,0.455,1.9,2.9,3.2,0.893,3.9,4.8,1.2,0.3,2.3,18.8
Džanan Musa,SF,36,11.5,1.4,3.9,0.369,0.4,0.9,1.2,0.75,2.0,0.9,0.4,0.0,0.9,4.3
Mike Muscala,C,41,12.0,1.6,3.9,0.40299999999999997,1.0,0.4,0.5,0.818,2.3,0.8,0.2,0.3,0.3,4.6
Sviatoslav Mykhailiuk,SF,56,22.6,3.0,7.2,0.41,2.1,1.0,1.3,0.8140000000000001,1.9,1.9,0.7,0.1,1.1,9.0
Abdel Nader,SF,48,15.8,2.1,4.6,0.455,0.8,1.0,1.3,0.774,1.9,0.7,0.4,0.4,0.8,6.0
Larry Nance Jr.,C,56,26.3,4.1,7.7,0.531,1.0,0.9,1.3,0.6759999999999999,7.3,2.2,1.0,0.4,1.1,10.1
Shabazz Napier,PG,52,24.3,3.3,8.2,0.408,1.4,2.3,2.8,0.826,2.9,4.9,1.3,0.2,2.2,10.4
Raul Neto,PG,49,11.5,1.6,3.6,0.451,0.6,0.5,0.6,0.8390000000000001,1.1,1.6,0.4,0.1,0.9,4.3
Malik Newman,SG,1,4.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
Georges Niang,PF,59,13.3,2.0,4.6,0.44299999999999995,1.3,0.3,0.4,0.8640000000000001,1.9,0.6,0.2,0.1,0.4,5.7
Joakim Noah,C,1,10.0,0.0,0.0,,0.0,1.0,2.0,0.5,4.0,1.0,0.0,1.0,0.0,1.0
Nerlens Noel,C,55,18.4,3.2,4.6,0.685,0.0,1.4,1.8,0.765,4.9,1.0,1.0,1.5,1.0,7.7
Zach Norvell,SG,5,8.2,0.6,2.4,0.25,0.6,0.2,0.2,1.0,1.2,0.6,0.4,0.0,0.6,2.0
Jaylen Nowell,SG,15,10.1,1.3,3.5,0.358,0.2,1.1,1.1,0.941,0.9,1.3,0.2,0.1,0.2,3.8
Frank Ntilikina,PG,57,20.8,2.3,5.8,0.39299999999999996,0.8,0.9,1.0,0.8640000000000001,2.1,3.0,0.9,0.3,1.2,6.3
Kendrick Nunn,SG,62,29.8,6.1,13.7,0.44799999999999995,2.1,1.2,1.5,0.8370000000000001,2.7,3.4,0.8,0.2,1.6,15.6
Jusuf Nurkić,C,1,33.0,5.0,11.0,0.455,0.0,8.0,8.0,1.0,9.0,5.0,2.0,6.0,4.0,18.0
David Nwaba,SF,20,13.4,1.9,3.6,0.521,0.6,0.9,1.4,0.667,2.3,0.4,0.6,0.6,0.4,5.2
Royce O'Neale,PF,65,29.2,2.2,5.1,0.44,1.3,0.6,0.8,0.735,5.4,2.6,0.8,0.4,0.8,6.3
Kyle O'Quinn,C,26,9.9,1.3,2.8,0.486,0.3,0.4,0.7,0.526,3.8,1.3,0.2,0.8,0.7,3.3
Semi Ojeleye,PF,62,14.6,1.0,2.6,0.409,0.6,0.4,0.5,0.893,2.0,0.5,0.3,0.1,0.2,3.1
Jahlil Okafor,C,28,15.1,3.1,5.1,0.611,0.0,1.3,2.1,0.638,4.3,1.3,0.3,0.7,1.3,7.6
Elie Okobo,PG,54,13.1,1.3,3.4,0.39799999999999996,0.5,0.9,1.2,0.687,1.6,2.1,0.4,0.1,0.7,4.0
Josh Okogie,SG,62,25.0,2.7,6.4,0.42700000000000005,0.7,2.5,3.1,0.7959999999999999,4.3,1.6,1.1,0.4,1.4,8.6
KZ Okpala,SF,5,5.2,0.6,1.0,0.6,0.0,0.2,0.4,0.5,1.0,0.2,0.4,0.2,0.2,1.4
Victor Oladipo,SG,13,25.9,4.8,12.4,0.391,1.6,2.5,3.2,0.78,3.2,3.0,0.8,0.2,2.2,13.8
Kelly Olynyk,C,59,18.5,2.6,5.4,0.47600000000000003,1.4,1.2,1.4,0.8540000000000001,4.4,1.6,0.6,0.3,1.1,7.7
Miye Oni,SG,5,2.2,0.0,0.4,0.0,0.0,0.0,0.0,,0.4,0.0,0.0,0.0,0.2,0.0
Cedi Osman,SF,65,29.4,4.1,9.4,0.43700000000000006,1.9,1.0,1.4,0.67,3.6,2.4,0.8,0.2,1.4,11.0
Kelly Oubre Jr.,SF,56,34.5,6.7,14.8,0.452,1.9,3.4,4.4,0.78,6.4,1.5,1.3,0.7,1.5,18.7
Tariq Owens,PF,3,5.0,0.3,1.7,0.2,0.0,0.7,0.7,1.0,1.0,0.0,0.3,0.0,0.0,1.3
Jeremy Pargo,PG,3,14.7,3.7,7.3,0.5,1.0,0.0,0.3,0.0,1.0,2.7,0.3,0.0,1.3,8.3
Jabari Parker,PF,33,25.8,6.0,12.1,0.499,0.9,1.7,2.2,0.743,5.9,1.8,1.3,0.5,1.8,14.7
Chandler Parsons,SF,5,10.8,1.0,3.6,0.278,0.8,0.0,0.0,,1.4,0.6,0.8,0.2,0.6,2.8
Eric Paschall,PF,60,27.6,5.3,10.7,0.49700000000000005,0.6,2.7,3.5,0.774,4.6,2.1,0.5,0.2,1.6,14.0
Anžejs Pasečņiks,C,24,16.9,2.3,4.4,0.528,0.0,1.3,2.3,0.593,4.1,0.7,0.3,0.5,0.9,6.0
