Player,Team,Positions,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
Justin Holiday,IND,"SG,SF",587.00,201.00,102.00,21.00,63.00,0.41,0.85,104.00,73.00,1685.00,61.00
Doug McDermott,IND,SF,578.00,143.00,70.00,11.00,18.00,0.49,0.85,88.00,74.00,1595.00,44.00
Justin Jackson,DAL,SF,574.00,214.00,94.00,14.00,29.00,0.45,0.75,88.00,76.00,1748.00,33.00
Kyle Korver,MIL,"SG,SF",573.00,153.00,85.00,17.00,29.00,0.44,0.89,134.00,65.00,1489.00,55.00
Shabazz Napier,MIN,PG,573.00,131.00,153.00,16.00,61.00,0.40,0.83,76.00,72.00,1243.00,78.00
P.J. Tucker,HOU,"SF,PF",561.00,467.00,94.00,32.00,112.00,0.41,0.71,130.00,81.00,2434.00,65.00
Jusuf Nurkic,POR,C ,558.00,367.00,100.00,53.00,35.00,0.50,0.67,0.00,42.00,1147.00,90.00
Emmanuel Mudiay,UTH,PG,557.00,153.00,190.00,15.00,39.00,0.43,0.77,49.00,71.00,1150.00,106.00
Ersan Ilyasova,MIL,"SF,PF",557.00,322.00,65.00,22.00,41.00,0.44,0.79,69.00,75.00,1375.00,54.00
Michael Porter Jr.,DEN,"SF,PF",548.00,196.00,96.00,16.00,39.00,0.45,0.80,66.00,63.00,1212.00,53.00
Pau Gasol,POR,"PF,C",544.00,454.00,131.00,35.00,29.00,0.47,0.80,37.00,77.00,1370.00,75.00
Alfonzo McKinnie,GSW,"PF,SF",534.00,390.00,45.00,21.00,30.00,0.49,0.56,69.00,77.00,1502.00,47.00
Royce O'Neale,UTH,"SF,SG",532.00,313.00,127.00,26.00,60.00,0.47,0.80,65.00,81.00,1539.00,75.00
Mason Plumlee,DEN,"PF,C",528.00,322.00,170.00,44.00,58.00,0.53,0.65,26.00,77.00,1313.00,90.00
Evan Turner,ATL,"SG,SF",526.00,236.00,202.00,23.00,44.00,0.45,0.81,29.00,77.00,1640.00,101.00
Willy Hernangomez,CHA,C,525.00,377.00,69.00,29.00,27.00,0.52,0.71,27.00,69.00,951.00,65.00
Josh Okogie,MIN,SG,519.00,202.00,129.00,29.00,76.00,0.40,0.76,58.00,72.00,1390.00,97.00
Lonnie Walker IV,SAS,SG,518.00,159.00,132.00,17.00,71.00,0.43,0.81,51.00,68.00,1337.00,75.00
Troy Brown Jr.,WAS,"SG,SF",518.00,266.00,136.00,19.00,57.00,0.44,0.72,59.00,76.00,1341.00,81.00
Rajon Rondo,LAL,PG,517.00,284.00,454.00,9.00,69.00,0.44,0.61,55.00,73.00,1686.00,150.00
Anthony Tolliver,POR,"SF,PF",516.00,224.00,68.00,20.00,27.00,0.44,0.78,116.00,78.00,1454.00,46.00
Jalen Brunson,DAL,PG,509.00,145.00,205.00,5.00,33.00,0.46,0.77,55.00,73.00,1073.00,73.00
DeAndre' Bembry,ATL,SF,505.00,261.00,147.00,29.00,76.00,0.46,0.65,33.00,76.00,1292.00,102.00
Denzel Valentine,CHI,"SG,SF ",502.00,243.00,146.00,6.00,41.00,0.43,0.77,90.00,65.00,1392.00,63.00
Mohamed Bamba,ORL,C,500.00,384.00,62.00,100.00,24.00,0.50,0.63,22.00,71.00,1212.00,67.00
Cory Joseph,SAC,"PG,SG",495.00,213.00,224.00,16.00,67.00,0.42,0.75,52.00,80.00,1619.00,71.00
Mike Muscala,OKC,"PF,C",492.00,253.00,71.00,34.00,27.00,0.45,0.84,86.00,70.00,1286.00,49.00
Tyus Jones,MEM,PG,489.00,144.00,310.00,8.00,93.00,0.44,0.88,47.00,77.00,1555.00,57.00
Marquese Chriss,GSW,"PF,C",488.00,318.00,69.00,66.00,43.00,0.44,0.62,52.00,79.00,1269.00,89.00
J.J. Barea,DAL,"PG,SG",482.00,120.00,250.00,0.00,20.00,0.44,0.77,65.00,51.00,1018.00,81.00
Goga Bitadze,IND,C,477.00,323.00,67.00,74.00,33.00,0.50,0.67,16.00,77.00,996.00,74.00
Boban Marjanovic,DAL,C,476.00,311.00,64.00,31.00,17.00,0.62,0.78,4.00,71.00,568.00,70.00
Nerlens Noel,OKC,"PF,C",468.00,403.00,57.00,85.00,73.00,0.58,0.72,0.00,74.00,1245.00,61.00
Ante Zizic,CLE,C ,462.00,321.00,45.00,42.00,16.00,0.56,0.73,0.00,72.00,927.00,61.00
Bismack Biyombo,CHA,"PF,C",460.00,418.00,57.00,88.00,20.00,0.52,0.64,0.00,82.00,1540.00,74.00
Nemanja Bjelica,SAC,"PF,SF",459.00,270.00,89.00,26.00,38.00,0.47,0.78,69.00,72.00,1256.00,54.00
Jahlil Okafor,NOR,C,457.00,227.00,37.00,42.00,15.00,0.56,0.70,0.00,58.00,799.00,59.00
Daniel Theis,BOS,"PF,C",454.00,289.00,82.00,51.00,28.00,0.57,0.72,27.00,71.00,994.00,46.00
Jordan Bell,MIN,"PF,C",450.00,368.00,165.00,97.00,46.00,0.56,0.70,0.00,70.00,1856.00,80.00
Wilson Chandler,BKN,"SF,PF",445.00,232.00,85.00,19.00,23.00,0.44,0.76,56.00,65.00,1359.00,54.00
Greg Monroe,PHI,"PF,C",443.00,271.00,91.00,25.00,37.00,0.54,0.73,0.00,52.00,817.00,70.00
Luke Kornet,CHI,"PF,C",443.00,258.00,54.00,60.00,29.00,0.50,0.77,39.00,75.00,1069.00,48.00
Aron Baynes,PHO,C,433.00,353.00,74.00,52.00,15.00,0.48,0.81,30.00,76.00,1136.00,61.00
Khem Birch,ORL,"PF,C",429.00,280.00,61.00,71.00,62.00,0.50,0.74,40.00,74.00,1209.00,75.00
Pat Connaughton,MIL,"SG,SF",426.00,209.00,99.00,21.00,28.00,0.47,0.77,75.00,71.00,1257.00,32.00
Ed Davis,UTH,"PF,C",423.00,622.00,57.00,47.00,36.00,0.63,0.61,0.00,77.00,1386.00,57.00
Noah Vonleh,MIN,"PF,C",419.00,396.00,92.00,36.00,34.00,0.47,0.70,34.00,76.00,1216.00,59.00
James Ennis III,PHI,"SG,SF",417.00,196.00,54.00,18.00,38.00,0.48,0.76,45.00,71.00,1173.00,39.00
Thon Maker,DET,"PF,C",417.00,248.00,45.00,61.00,38.00,0.42,0.70,48.00,79.00,1260.00,42.00
T.J. McConnell,IND,PG,389.00,156.00,254.00,10.00,72.00,0.49,0.79,16.00,77.00,1271.00,79.00
Matisse Thybulle,PHI,"SF,SG",366.00,139.00,71.00,48.00,74.00,0.42,0.80,41.00,66.00,921.00,50.00
Richaun Holmes,SAC,"PF,C",363.00,192.00,77.00,36.00,30.00,0.53,0.73,22.00,63.00,901.00,33.00
Andre Roberson,OKC,"SG,SF",361.00,316.00,75.00,56.00,69.00,0.50,0.37,21.00,67.00,1822.00,49.00
Jaxson Hayes,NOR,C,354.00,226.00,34.00,80.00,28.00,0.62,0.71,8.00,76.00,912.00,50.00
Tyler Ulis,SAC,PG,334.00,185.00,162.00,40.00,42.00,0.49,0.76,13.00,50.00,1093.00,62.00
Kenneth Faried,HOU,"PF,C",328.00,227.00,28.00,23.00,23.00,0.52,0.69,0.00,48.00,777.00,39.00
John Henson,CLE,"PF,C",319.00,278.00,41.00,44.00,20.00,0.51,0.59,0.00,52.00,1038.00,44.00
Tyson Chandler,HOU,C,311.00,385.00,40.00,33.00,18.00,0.65,0.64,0.00,64.00,1197.00,55.00
Andre Iguodala,MEM,"SG,SF",309.00,186.00,162.00,32.00,49.00,0.50,0.65,35.00,54.00,1388.00,43.00
Bruno Fernando,ATL,"C,PF",306.00,231.00,50.00,33.00,19.00,0.54,0.72,11.00,74.00,592.00,52.00
Kyle O'Quinn,PHI,"PF,C",286.00,227.00,81.00,51.00,17.00,0.52,0.77,2.00,54.00,732.00,48.00
Amir Johnson,PHI,"PF,C",274.00,211.00,76.00,34.00,26.00,0.56,0.66,11.00,53.00,741.00,43.00
Jonah Bolden,PHI,"PF,C",261.00,214.00,51.00,48.00,20.00,0.50,0.54,44.00,70.00,837.00,47.00
Damian Jones,ATL,C,258.00,150.00,53.00,44.00,22.00,0.69,0.65,0.00,61.00,488.00,34.00
Kosta Koufos,SAC,"PF,C",253.00,250.00,41.00,21.00,24.00,0.55,0.51,0.00,50.00,774.00,31.00
DeMarcus Cousins,LAL,"PF,C ",224.00,125.00,39.00,19.00,19.00,0.48,0.75,21.00,24.00,626.00,49.00
Tyler Zeller,DEN,"PF,C",196.00,135.00,26.00,16.00,12.00,0.52,0.76,4.00,42.00,515.00,21.00
Timofey Mozgov,ORL,C,178.00,110.00,16.00,20.00,9.00,0.55,0.77,4.00,42.00,495.00,36.00
Ian Mahinmi,WAS,C ,142.00,123.00,22.00,23.00,22.00,0.58,0.69,0.00,48.00,431.00,36.00
Joakim Noah,MEM,"PF,C",141.00,133.00,41.00,25.00,18.00,0.47,0.64,0.00,42.00,484.00,27.00
